"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"WFDC13","1553052_at",0.8284175,0.623,0.5,-6.1915,0.30097265,"WFDC13","WAP four-disulfide core domain 13","WFDC13"
"PGLYRP2","242817_at",0.8284175,0.623,-0.5,-6.19151,-0.20110335,"PGLYRP2","peptidoglycan recognition protein 2","PGLYRP2"
"ACO1","207071_s_at",0.8287281,0.624,-0.5,-6.19173,-0.070335,"ACO1","aconitase 1","ACO1"
"TOR2A","244155_x_at",0.8287571,0.624,0.5,-6.19179,0.15437893,"TOR2A","torsin family 2 member A","TOR2A"
"PSMA3","201532_at",0.8287571,0.624,-0.5,-6.19184,-0.08084678,"PSMA3","proteasome subunit alpha 3","PSMA3"
"CECR6","224393_s_at",0.8287571,0.624,-0.5,-6.19184,-0.14179386,"CECR6","cat eye syndrome chromosome region, candidate 6","CECR6"
"HIST1H4PS1","234392_at",0.8288419,0.624,0.5,-6.19194,0.31730374,"HIST1H4PS1","histone cluster 1, H4, pseudogene 1","HIST1H4PS1"
"LOC727944","231256_at",0.8289541,0.624,0.499,-6.19207,0.26530786,"LOC727944","uncharacterized LOC727944","LOC727944"
"CSTF2T","212901_s_at",0.8289541,0.624,0.499,-6.19208,0.11515459,"CSTF2T","cleavage stimulation factor subunit 2, tau variant","CSTF2T"
"ENTPD7","235204_at",0.8289541,0.624,0.499,-6.19209,0.14786844,"ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7","ENTPD7"
"ANKLE1","1553138_a_at",0.8289684,0.624,-0.499,-6.19212,-0.26289708,"ANKLE1","ankyrin repeat and LEM domain containing 1","ANKLE1"
"CMC2","218447_at",0.8289684,0.624,-0.499,-6.19212,-0.07095375,"CMC2","C-X9-C motif containing 2","CMC2"
"LOC100996251","1568892_at",0.8289802,0.624,-0.499,-6.19214,-0.13105452,"LOC100996251","uncharacterized LOC100996251","LOC100996251"
"FITM1","229567_at",0.8290012,0.624,-0.499,-6.1922,-0.11154263,"FITM1","fat storage inducing transmembrane protein 1","FITM1"
"SYCE1","233084_s_at",0.8290112,0.624,0.499,-6.19226,0.362553,"SYCE1","synaptonemal complex central element protein 1","SYCE1"
"ARHGEF15","217348_x_at",0.8290112,0.624,-0.499,-6.19227,-0.09040569,"ARHGEF15","Rho guanine nucleotide exchange factor 15","ARHGEF15"
"PSMB3","201400_at",0.8290827,0.624,-0.499,-6.19232,-0.06707581,"PSMB3","proteasome subunit beta 3","PSMB3"
"LOC101928424","239241_at",0.8290974,0.624,0.499,-6.19234,0.20948475,"LOC101928424","uncharacterized LOC101928424","LOC101928424"
"MIR670HG","244136_at",0.8291471,0.624,0.499,-6.19238,0.16305586,"MIR670HG","MIR670 host gene","MIR670HG"
"KATNBL1","222745_s_at",0.8291651,0.625,-0.499,-6.19245,-0.10131352,"KATNBL1","katanin regulatory subunit B1 like 1","KATNBL1"
"PDCD2L","224467_s_at",0.8291651,0.625,0.499,-6.19246,0.08971091,"PDCD2L","programmed cell death 2 like","PDCD2L"
"FAAP24","214816_x_at",0.8291748,0.625,-0.499,-6.1925,-0.08930238,"FAAP24","Fanconi anemia core complex associated protein 24","FAAP24"
"EML1","204796_at",0.8291748,0.625,0.498,-6.19254,0.14019514,"EML1","echinoderm microtubule associated protein like 1","EML1"
"OR5V1","234840_s_at",0.8291748,0.625,-0.498,-6.19256,-0.15599831,"OR5V1","olfactory receptor family 5 subfamily V member 1","OR5V1"
"ZNF883","230876_at",0.8292317,0.625,0.498,-6.19265,0.25316498,"ZNF883","zinc finger protein 883","ZNF883"
"ISCA2","226007_at",0.8292552,0.625,-0.498,-6.19267,-0.0656067,"ISCA2","iron-sulfur cluster assembly 2","ISCA2"
"SCGB2B2","237748_at",0.8292709,0.625,0.498,-6.19269,0.21771115,"SCGB2B2","secretoglobin family 2B member 2","SCGB2B2"
"ZNF16","219548_at",0.829276,0.625,-0.498,-6.19272,-0.07368892,"ZNF16","zinc finger protein 16","ZNF16"
"FAM102A","212400_at",0.829276,0.625,-0.498,-6.19274,-0.08811431,"FAM102A","family with sequence similarity 102 member A","FAM102A"
"EP300-AS1","1562921_at",0.8294481,0.625,-0.498,-6.19297,-0.28170353,"EP300-AS1","EP300 antisense RNA 1","EP300-AS1"
"NUDT9P1","1552564_at",0.8294731,0.625,-0.497,-6.19305,-0.13103728,"NUDT9P1","nudix hydrolase 9 pseudogene 1","NUDT9P1"
"LOC101928896","1556272_a_at",0.8295102,0.625,0.497,-6.1931,0.21104463,"LOC101928896","uncharacterized LOC101928896","LOC101928896"
"LINC00323","240068_at",0.8297973,0.626,0.497,-6.19336,0.17534322,"LINC00323","long intergenic non-protein coding RNA 323","LINC00323"
"PNMAL2","232003_at",0.8298155,0.626,0.497,-6.19338,0.15453493,"PNMAL2","paraneoplastic Ma antigen family-like 2","PNMAL2"
"LHX4-AS1","228209_at",0.8298495,0.626,0.497,-6.19347,0.29750736,"LHX4-AS1","LHX4 antisense RNA 1","LHX4-AS1"
"MCRIP2","225861_at",0.8298495,0.626,-0.497,-6.19348,-0.10697856,"MCRIP2","MAPK regulated corepressor interacting protein 2","MCRIP2"
"CTBP1-AS","1563571_at",0.8298602,0.626,-0.497,-6.1935,-0.10518598,"CTBP1-AS","CTBP1 antisense RNA","CTBP1-AS"
"HIST1H4A","208046_at",0.8299291,0.626,0.496,-6.19356,0.28233685,"HIST1H4A","histone cluster 1, H4a","HIST1H4A"
"TSPOAP1","205839_s_at",0.8299291,0.626,-0.496,-6.19357,-0.14202969,"TSPOAP1","TSPO associated protein 1","TSPOAP1"
"RPL26L1","218830_at",0.8300901,0.626,0.496,-6.19383,0.06764805,"RPL26L1","ribosomal protein L26 like 1","RPL26L1"
"ANO5","229313_at",0.8300901,0.626,0.496,-6.19386,0.19906836,"ANO5","anoctamin 5","ANO5"
"NDUFAF4","227559_at",0.8300901,0.626,0.496,-6.19388,0.09117217,"NDUFAF4","NADH:ubiquinone oxidoreductase complex assembly factor 4","NDUFAF4"
"B3GNT6","1552834_at",0.8300901,0.627,-0.496,-6.19388,-0.17269044,"B3GNT6","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6","B3GNT6"
"LINC00563","215738_at",0.8300901,0.627,-0.496,-6.1939,-0.10587299,"LINC00563","long intergenic non-protein coding RNA 563","LINC00563"
"GEMIN4","217099_s_at",0.8301055,0.627,0.496,-6.19392,0.07917118,"GEMIN4","gem nuclear organelle associated protein 4","GEMIN4"
"GRAMD1C","219313_at",0.8306701,0.627,0.495,-6.19449,0.33647292,"GRAMD1C","GRAM domain containing 1C","GRAMD1C"
"WNT11","206737_at",0.8306701,0.627,0.495,-6.19449,0.15865349,"WNT11","Wnt family member 11","WNT11"
"GPR137B","204137_at",0.8307067,0.627,0.494,-6.19458,0.0848626,"GPR137B","G protein-coupled receptor 137B","GPR137B"
"IL37","224555_x_at",0.8307067,0.627,0.494,-6.19458,0.104404,"IL37","interleukin 37","IL37"
"ANGPTL7","206423_at",0.8307267,0.627,-0.494,-6.1946,-0.25932401,"ANGPTL7","angiopoietin like 7","ANGPTL7"
"TOP2B","211987_at",0.8307311,0.628,0.494,-6.19462,0.10309935,"TOP2B","topoisomerase (DNA) II beta","TOP2B"
"COL4A1","211981_at",0.8307362,0.628,0.494,-6.19463,0.11043723,"COL4A1","collagen type IV alpha 1 chain","COL4A1"
"TEDDM1","1552940_at",0.8307493,0.628,0.494,-6.19465,0.31622232,"TEDDM1","transmembrane epididymal protein 1","TEDDM1"
"ZNF766","227284_at",0.8307566,0.628,-0.494,-6.19466,-0.07504929,"ZNF766","zinc finger protein 766","ZNF766"
"PKD2L2","224226_at",0.830842,0.628,0.494,-6.19472,0.23313135,"PKD2L2","polycystin 2 like 2, transient receptor potential cation channel","PKD2L2"
"MYBL1","237014_at",0.8309284,0.628,0.494,-6.19478,0.1386906,"MYBL1","MYB proto-oncogene like 1","MYBL1"
"PRR36","220584_at",0.831004,0.628,0.494,-6.19484,0.1263021,"PRR36","proline rich 36","PRR36"
"GPR83","222953_at",0.8310588,0.628,-0.494,-6.1949,-0.24556323,"GPR83","G protein-coupled receptor 83","GPR83"
"SLC1A2","217055_x_at",0.8310894,0.628,0.494,-6.19494,0.13590119,"SLC1A2","solute carrier family 1 member 2","SLC1A2"
"OPTC","223884_at",0.8310935,0.628,0.493,-6.19502,0.0938506,"OPTC","opticin","OPTC"
"ARL5C","1560136_at",0.8310935,0.628,0.493,-6.19503,0.24150985,"ARL5C","ADP ribosylation factor like GTPase 5C","ARL5C"
"RASSF8-AS1","242358_at",0.8310935,0.628,-0.493,-6.19505,-0.10467352,"RASSF8-AS1","RASSF8 atnisense RNA 1","RASSF8-AS1"
"LOC101928626","1560957_at",0.8310935,0.628,0.493,-6.19505,0.30901094,"LOC101928626","uncharacterized LOC101928626","LOC101928626"
"P2RX3","208338_at",0.8311434,0.628,0.493,-6.19511,0.29467621,"P2RX3","purinergic receptor P2X 3","P2RX3"
"ADH1A","207820_at",0.8311439,0.628,0.493,-6.19518,0.10144544,"ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide","ADH1A"
"IFNL1","1552917_at",0.8311439,0.628,0.493,-6.1952,0.13635179,"IFNL1","interferon lambda 1","IFNL1"
"GSDMD","218154_at",0.8312245,0.628,-0.493,-6.19529,-0.22992124,"GSDMD","gasdermin D","GSDMD"
"NBPF25P","201104_x_at",0.8313011,0.629,0.493,-6.19541,0.07562591,"NBPF25P///NBPF26///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF14","neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 14","NBPF25P"
"TMPRSS15","207638_at",0.8314379,0.629,-0.492,-6.19563,-0.27312746,"TMPRSS15","transmembrane protease, serine 15","TMPRSS15"
"PRR7","219742_at",0.8314647,0.629,-0.492,-6.19567,-0.23889993,"PRR7","proline rich 7 (synaptic)","PRR7"
"CSMD2-AS1","1569696_at",0.8314647,0.629,0.492,-6.19567,0.26519916,"CSMD2-AS1","CSMD2 antisense RNA 1","CSMD2-AS1"
"ITGAM","205786_s_at",0.831487,0.629,-0.492,-6.19571,-0.14578785,"ITGAM","integrin subunit alpha M","ITGAM"
"DAPK3","228681_x_at",0.8315517,0.629,-0.492,-6.19576,-0.14667102,"DAPK3","death associated protein kinase 3","DAPK3"
"LOC100289061","1563071_at",0.8316253,0.629,0.492,-6.19583,0.13601784,"LOC100289061","uncharacterized LOC100289061","LOC100289061"
"LOC100134368","1569270_at",0.8316269,0.629,-0.492,-6.19584,-0.20696195,"LOC100134368","uncharacterized LOC100134368","LOC100134368"
"ZDHHC7","218606_at",0.8319127,0.63,0.491,-6.19617,0.08700182,"ZDHHC7","zinc finger DHHC-type containing 7","ZDHHC7"
"TMEM147-AS1","1558381_a_at",0.8319464,0.63,-0.491,-6.19626,-0.15046875,"TMEM147-AS1","TMEM147 antisense RNA 1","TMEM147-AS1"
"GPN1","209313_at",0.8320491,0.63,-0.491,-6.19639,-0.10395175,"GPN1","GPN-loop GTPase 1","GPN1"
"ZG16","214142_at",0.8321975,0.63,0.49,-6.19656,0.14339289,"ZG16","zymogen granule protein 16","ZG16"
"LOC101927710","1559629_at",0.8321975,0.63,0.49,-6.19658,0.09084211,"LOC101927710","uncharacterized LOC101927710","LOC101927710"
"FCER1G","204232_at",0.8323043,0.63,0.49,-6.19669,0.12936499,"FCER1G","Fc fragment of IgE receptor Ig","FCER1G"
"KCNMB3","221125_s_at",0.8323043,0.63,0.49,-6.1967,0.24944551,"KCNMB3","potassium calcium-activated channel subfamily M regulatory beta subunit 3","KCNMB3"
"LIN28A","219823_at",0.8323043,0.63,-0.49,-6.1967,-0.30023818,"LIN28A","lin-28 homolog A","LIN28A"
"LAPTM4A","200673_at",0.8323338,0.63,-0.49,-6.19674,-0.08963482,"LAPTM4A","lysosomal protein transmembrane 4 alpha","LAPTM4A"
"CRYZ","202950_at",0.8323338,0.63,0.49,-6.19674,0.10783708,"CRYZ","crystallin zeta","CRYZ"
"EYS","233996_x_at",0.8323717,0.631,0.49,-6.19679,0.29142362,"EYS","eyes shut homolog (Drosophila)","EYS"
"PLCG1","216551_x_at",0.8325382,0.631,-0.49,-6.19694,-0.08638372,"PLCG1","phospholipase C gamma 1","PLCG1"
"TRMT44","220891_at",0.8326269,0.631,0.489,-6.19706,0.12568498,"TRMT44","tRNA methyltransferase 44 homolog (S. cerevisiae)","TRMT44"
"TM4SF4","209937_at",0.8326451,0.631,0.489,-6.19715,0.17859339,"TM4SF4","transmembrane 4 L six family member 4","TM4SF4"
"MIR548XHG","1561609_at",0.8326556,0.631,-0.489,-6.19723,-0.11187013,"MIR548XHG","MIR548X host gene","MIR548XHG"
"LOC100129503","216107_at",0.8326556,0.631,-0.489,-6.19725,-0.14377237,"LOC100129503","uncharacterized LOC100129503","LOC100129503"
"PPIP5K2","203253_s_at",0.8326556,0.631,-0.489,-6.19727,-0.17280832,"PPIP5K2","diphosphoinositol pentakisphosphate kinase 2","PPIP5K2"
"MIR7110","203857_s_at",0.8326738,0.631,0.489,-6.1973,0.09367868,"MIR7110///PDIA5","microRNA 7110///protein disulfide isomerase family A member 5","MIR7110"
"DPEP2","219452_at",0.8329731,0.632,-0.488,-6.19761,-0.16329344,"DPEP2","dipeptidase 2","DPEP2"
"BTBD3","202946_s_at",0.8330178,0.632,-0.488,-6.19767,-0.07751296,"BTBD3","BTB domain containing 3","BTBD3"
"DCUN1D2","219116_s_at",0.8330392,0.632,0.488,-6.19769,0.14539321,"DCUN1D2","defective in cullin neddylation 1 domain containing 2","DCUN1D2"
"DDX11-AS1","1557139_at",0.8330392,0.632,-0.488,-6.1977,-0.30943972,"DDX11-AS1","DDX11 antisense RNA 1","DDX11-AS1"
"ANKRD44-IT1","1557486_at",0.8331231,0.632,-0.488,-6.19776,-0.37079466,"ANKRD44-IT1","ANKRD44 intronic transcript 1","ANKRD44-IT1"
"LOC101928710","241394_at",0.8331231,0.632,-0.488,-6.19777,-0.25534124,"LOC101928710","uncharacterized LOC101928710","LOC101928710"
"EPHA1-AS1","238263_at",0.8332064,0.632,0.488,-6.19794,0.19778989,"EPHA1-AS1","EPHA1 antisense RNA 1","EPHA1-AS1"
"SPATA25","1553752_at",0.8336141,0.633,0.487,-6.19825,0.10316443,"SPATA25","spermatogenesis associated 25","SPATA25"
"YWHAQ","212426_s_at",0.8336731,0.633,0.487,-6.19829,0.07515688,"YWHAQ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta","YWHAQ"
"PRKCZ","202178_at",0.8337271,0.633,0.487,-6.19835,0.13131682,"PRKCZ","protein kinase C zeta","PRKCZ"
"LOC102800447","1563185_at",0.8337271,0.633,0.487,-6.19836,0.20784235,"LOC102800447///LOC101930566","uncharacterized LOC102800447///uncharacterized LOC101930566","LOC102800447"
"NOL10","218591_s_at",0.833759,0.633,0.487,-6.1984,0.08852901,"NOL10","nucleolar protein 10","NOL10"
"ASGR2","206130_s_at",0.8337757,0.633,0.487,-6.19843,0.11420827,"ASGR2","asialoglycoprotein receptor 2","ASGR2"
"SDAD1","218607_s_at",0.8338754,0.633,0.486,-6.19853,0.1029118,"SDAD1","SDA1 domain containing 1","SDAD1"
"SFXN2","237334_at",0.8339713,0.633,-0.486,-6.19866,-0.25670136,"SFXN2","sideroflexin 2","SFXN2"
"TAS2R3","221456_at",0.8341114,0.633,0.486,-6.19876,0.10720581,"TAS2R3","taste 2 receptor member 3","TAS2R3"
"REPS1","224366_s_at",0.8341114,0.633,0.486,-6.19877,0.08221842,"REPS1","RALBP1 associated Eps domain containing 1","REPS1"
"HOMER2","1556097_at",0.8341407,0.633,-0.486,-6.19881,-0.1328187,"HOMER2","homer scaffolding protein 2","HOMER2"
"LOC220077","216385_at",0.8341599,0.633,0.486,-6.19883,0.08117583,"LOC220077","dedicator of cytokinesis 1 pseudogene","LOC220077"
"JAKMIP2","205888_s_at",0.8342435,0.634,0.486,-6.19892,0.19782084,"JAKMIP2","janus kinase and microtubule interacting protein 2","JAKMIP2"
"SLCO2A1","204368_at",0.8342435,0.634,0.486,-6.19892,0.15826218,"SLCO2A1","solute carrier organic anion transporter family member 2A1","SLCO2A1"
"LOC101928230","230386_at",0.8342435,0.634,0.486,-6.19893,0.11301609,"LOC101928230","uncharacterized LOC101928230","LOC101928230"
"TSHR","215442_s_at",0.8342649,0.634,0.485,-6.19898,0.2711822,"TSHR","thyroid stimulating hormone receptor","TSHR"
"EGR1","201694_s_at",0.8342713,0.634,0.485,-6.19899,0.20704457,"EGR1","early growth response 1","EGR1"
"TSPYL6","231339_at",0.834337,0.634,0.485,-6.19904,0.29627366,"TSPYL6","TSPY like 6","TSPYL6"
"LOC100130207","1559735_at",0.8344581,0.634,0.485,-6.19916,0.14864382,"LOC100130207","uncharacterized LOC100130207","LOC100130207"
"ZNF559","224518_s_at",0.834577,0.634,-0.485,-6.19924,-0.28392339,"ZNF559","zinc finger protein 559","ZNF559"
"RPP14","236380_at",0.8346368,0.634,-0.485,-6.1993,-0.2268779,"RPP14","ribonuclease P/MRP subunit p14","RPP14"
"LINC00551","244119_at",0.8346984,0.634,0.485,-6.19936,0.27902096,"LINC00551","long intergenic non-protein coding RNA 551","LINC00551"
"MOB1B","225997_at",0.8347155,0.634,-0.485,-6.19942,-0.08898593,"MOB1B","MOB kinase activator 1B","MOB1B"
"EXOSC9","205061_s_at",0.8347155,0.634,0.484,-6.19947,0.17706364,"EXOSC9","exosome component 9","EXOSC9"
"ODF1","214485_at",0.8347305,0.634,0.484,-6.1995,0.12891009,"ODF1","outer dense fiber of sperm tails 1","ODF1"
"PPBP","214146_s_at",0.8347596,0.634,-0.484,-6.19954,-0.30144696,"PPBP","pro-platelet basic protein","PPBP"
"SLC22A6","216599_x_at",0.8348093,0.635,-0.484,-6.19965,-0.17210402,"SLC22A6","solute carrier family 22 member 6","SLC22A6"
"KIRREL3-AS3","1553478_at",0.8348267,0.635,-0.484,-6.19968,-0.18568353,"KIRREL3-AS3","KIRREL3 antisense RNA 3","KIRREL3-AS3"
"RAB39A","1554800_at",0.8351112,0.635,-0.484,-6.19987,-0.14143561,"RAB39A","RAB39A, member RAS oncogene family","RAB39A"
"AHCYL1","200850_s_at",0.8351274,0.635,0.484,-6.1999,0.07385586,"AHCYL1","adenosylhomocysteinase like 1","AHCYL1"
"CHCHD1","226896_at",0.8352437,0.635,-0.483,-6.20007,-0.06681092,"CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1","CHCHD1"
"RFPL3","207936_x_at",0.835273,0.635,-0.483,-6.20011,-0.11172279,"RFPL3","ret finger protein like 3","RFPL3"
"LINC00895","1561707_at",0.8352996,0.635,-0.483,-6.20017,-0.30652267,"LINC00895","long intergenic non-protein coding RNA 895","LINC00895"
"COMMD3-BMI1","202265_at",0.8352996,0.635,0.483,-6.20018,0.06689056,"COMMD3-BMI1///BMI1","COMMD3-BMI1 readthrough///BMI1 proto-oncogene, polycomb ring finger","COMMD3-BMI1"
"UGT2B28","211682_x_at",0.8355312,0.636,-0.483,-6.20038,-0.30558319,"UGT2B28","UDP glucuronosyltransferase family 2 member B28","UGT2B28"
"EPX","214627_at",0.8355682,0.636,0.482,-6.20045,0.22543032,"EPX","eosinophil peroxidase","EPX"
"ZBTB46","227329_at",0.8356297,0.636,0.482,-6.20054,0.11620537,"ZBTB46","zinc finger and BTB domain containing 46","ZBTB46"
"TMPRSS11B","1560712_at",0.8356297,0.636,0.482,-6.20056,0.15053383,"TMPRSS11B","transmembrane protease, serine 11B","TMPRSS11B"
"TMEM262","213740_s_at",0.8356297,0.636,-0.482,-6.20058,-0.26037101,"TMEM262","transmembrane protein 262","TMEM262"
"Dbpht2","1555646_at",0.8356297,0.636,-0.482,-6.20065,-0.22510219,"Dbpht2","DNA binding protein with his-thr domain","Dbpht2"
"IHH","215420_at",0.8356934,0.636,0.482,-6.20074,0.15353913,"IHH","indian hedgehog","IHH"
"NLRP11","1552531_a_at",0.8356934,0.636,-0.482,-6.20076,-0.23010049,"NLRP11","NLR family pyrin domain containing 11","NLRP11"
"LINC00587","1563260_at",0.8357172,0.636,0.482,-6.2008,0.28847,"LINC00587","long intergenic non-protein coding RNA 587","LINC00587"
"SNRNP200","232931_at",0.8357489,0.636,-0.482,-6.20084,-0.09000931,"SNRNP200","small nuclear ribonucleoprotein U5 subunit 200","SNRNP200"
"LOC102723721","235921_at",0.835758,0.636,0.482,-6.20086,0.20427442,"LOC102723721","uncharacterized LOC102723721","LOC102723721"
"CYP4F12","206539_s_at",0.8359375,0.637,-0.481,-6.20105,-0.12429041,"CYP4F12","cytochrome P450 family 4 subfamily F member 12","CYP4F12"
"EN2","207060_at",0.8359829,0.637,0.481,-6.20111,0.21385502,"EN2","engrailed homeobox 2","EN2"
"GPR62","1554559_at",0.8361559,0.637,-0.481,-6.20127,-0.17499654,"GPR62","G protein-coupled receptor 62","GPR62"
"LOC102723701","1561386_at",0.8364158,0.637,-0.48,-6.20149,-0.22656401,"LOC102723701","uncharacterized LOC102723701","LOC102723701"
"CRCT1","220620_at",0.8364158,0.637,0.48,-6.2015,0.23150428,"CRCT1","cysteine rich C-terminal 1","CRCT1"
"PNMT","206793_at",0.8364569,0.637,0.48,-6.20153,0.15447867,"PNMT","phenylethanolamine N-methyltransferase","PNMT"
"CDCA7L","225081_s_at",0.8366207,0.637,0.48,-6.20169,0.22419283,"CDCA7L","cell division cycle associated 7 like","CDCA7L"
"SHD","227845_s_at",0.8366337,0.638,-0.48,-6.20172,-0.1816524,"SHD","Src homology 2 domain containing transforming protein D","SHD"
"SMIM1","230840_at",0.8366444,0.638,-0.48,-6.20175,-0.31080294,"SMIM1","small integral membrane protein 1 (Vel blood group)","SMIM1"
"MIR142","230980_x_at",0.8369243,0.638,0.479,-6.20203,0.14268343,"MIR142","microRNA 142","MIR142"
"BIRC7","220451_s_at",0.8369243,0.638,0.479,-6.20205,0.14510277,"BIRC7","baculoviral IAP repeat containing 7","BIRC7"
"GLYATL2","1554712_a_at",0.8369243,0.638,-0.479,-6.20206,-0.18793131,"GLYATL2","glycine-N-acyltransferase like 2","GLYATL2"
"LOC284898","1562030_at",0.8369243,0.638,0.479,-6.20208,0.16356104,"LOC284898","uncharacterized LOC284898","LOC284898"
"ASB16-AS1","1555981_at",0.8369243,0.638,0.479,-6.20209,0.08328285,"ASB16-AS1","ASB16 antisense RNA 1","ASB16-AS1"
"KIFC1","209680_s_at",0.8369243,0.638,0.479,-6.20213,0.14411956,"KIFC1","kinesin family member C1","KIFC1"
"LOC100131756","1564202_at",0.8369243,0.638,0.479,-6.20214,0.12671479,"LOC100131756","uncharacterized LOC100131756","LOC100131756"
"LSR","208190_s_at",0.8369783,0.638,-0.479,-6.20218,-0.32568638,"LSR","lipolysis stimulated lipoprotein receptor","LSR"
"PPP1R37","229262_at",0.8369783,0.638,-0.479,-6.20219,-0.21950314,"PPP1R37","protein phosphatase 1 regulatory subunit 37","PPP1R37"
"COL6A3","201438_at",0.8371142,0.638,-0.479,-6.20231,-0.0989979,"COL6A3","collagen type VI alpha 3 chain","COL6A3"
"CXorf40A","213315_x_at",0.8373848,0.639,-0.478,-6.20256,-0.07925574,"CXorf40A","chromosome X open reading frame 40A","CXorf40A"
"LOC101926916","1570138_at",0.8373848,0.639,0.478,-6.20257,0.1023556,"LOC101926916","uncharacterized LOC101926916","LOC101926916"
"LTK","207106_s_at",0.8374763,0.639,0.478,-6.20264,0.17594069,"LTK","leukocyte receptor tyrosine kinase","LTK"
"CSHL1","208294_x_at",0.8374795,0.639,0.478,-6.20267,0.09257025,"CSHL1","chorionic somatomammotropin hormone like 1","CSHL1"
"ISOC1","218170_at",0.8374795,0.639,0.478,-6.20274,0.13250038,"ISOC1","isochorismatase domain containing 1","ISOC1"
"ATP13A1","218052_s_at",0.8377941,0.639,-0.477,-6.20301,-0.1033944,"ATP13A1","ATPase 13A1","ATP13A1"
